Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex,HTeam,VTeam,key,Date,Exp,HPen,HPenYd,LastName,RefPosition,VPen,VPenYd
MIA,Offensive Holding,09/12/2011,NE,J.Trusnik,LB,1.0,2011.0,MIA-2011-6,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,False Start,09/12/2011,NE,L.Hilliard,FB,1.0,2011.0,MIA-2011-7,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,Offensive Holding,09/18/2011,HOU,J.Trusnik,LB,2.0,2011.0,MIA-2011-8,HOU,MIA,09-18-2011-HOU,,,,,,,,
MIA,False Start,09/18/2011,HOU,J.Long,T,2.0,2011.0,MIA-2011-9,HOU,MIA,09-18-2011-HOU,,,,,,,,
MIA,Offensive Holding,09/18/2011,HOU,M.Colombo,T,2.0,2011.0,MIA-2011-10,HOU,MIA,09-18-2011-HOU,,,,,,,,
MIA,Offensive Holding,09/25/2011,CLE,A.Fasano,TE,3.0,2011.0,MIA-2011-11,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Illegal Formation,09/25/2011,CLE,J.Mastrud,TE,3.0,2011.0,MIA-2011-12,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Offensive Holding,09/25/2011,CLE,N.Garner,G,3.0,2011.0,MIA-2011-13,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,False Start,09/25/2011,CLE,A.Fasano,TE,3.0,2011.0,MIA-2011-14,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Unnecessary Roughness,09/25/2011,CLE,B.Marshall,WR,3.0,2011.0,MIA-2011-15,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Roughing the Passer,09/25/2011,CLE,Y.Bell,SS,3.0,2011.0,MIA-2011-16,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Offensive Holding,09/25/2011,CLE,J.Jerry,G,3.0,2011.0,MIA-2011-17,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Defensive Pass Interference,09/25/2011,CLE,N.Carroll,CB,3.0,2011.0,MIA-2011-18,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Roughing the Passer,09/25/2011,CLE,I.Olshansky,DT,3.0,2011.0,MIA-2011-19,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Defensive Offside,09/25/2011,CLE,J.Taylor,CB,3.0,2011.0,MIA-2011-20,CLE,MIA,09-25-2011-CLE,2011-09-25,269.0,8.0,85.0,Anderson,Referee,10.0,93.0
MIA,Horse Collar Tackle,10/02/2011,SD,A.Fasano,TE,4.0,2011.0,MIA-2011-21,SD,MIA,10-02-2011-SD,2011-10-02,261.0,8.0,80.0,Triplette,Referee,2.0,41.0
MIA,Defensive Pass Interference,10/02/2011,SD,Y.Bell,SS,4.0,2011.0,MIA-2011-22,SD,MIA,10-02-2011-SD,2011-10-02,261.0,8.0,80.0,Triplette,Referee,2.0,41.0
MIA,Roughing the Passer,10/23/2011,DEN,Y.Bell,SS,7.0,2011.0,MIA-2011-26,DEN,MIA,10-23-2011-DEN,,,,,,,,
MIA,Offside on Free Kick,10/23/2011,DEN,M.Mitchell,OLB,7.0,2011.0,MIA-2011-27,DEN,MIA,10-23-2011-DEN,,,,,,,,
MIA,Defensive Pass Interference,11/06/2011,KC,J.Wilson,DB,9.0,2011.0,MIA-2011-33,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
MIA,Defensive Pass Interference,11/06/2011,KC,J.Wilson,DB,9.0,2011.0,MIA-2011-34,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
MIA,Personal Foul,11/06/2011,KC,Y.Bell,SS,9.0,2011.0,MIA-2011-35,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
MIA,Unnecessary Roughness,11/06/2011,KC,Y.Bell,SS,9.0,2011.0,MIA-2011-36,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
MIA,Unsportsmanlike Conduct,11/06/2011,KC,Y.Bell,SS,9.0,2011.0,MIA-2011-37,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
MIA,Unnecessary Roughness,11/06/2011,KC,M.Colombo,T,9.0,2011.0,MIA-2011-38,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
MIA,False Start,11/06/2011,KC,M.Mitchell,OLB,9.0,2011.0,MIA-2011-39,KC,MIA,11-06-2011-KC,2011-11-06,269.0,8.0,70.0,Anderson,Referee,7.0,49.0
