PenaltyIndex,team,penalty,game,opponent,player,position,week
STL-2015-89,STL,Ineligible Downfield Kick,11/22/2015,Baltimore,D.Bates,LB,11-2015
STL-2015-90,STL,Invalid Fair Catch Signal,11/22/2015,Baltimore,T.Austin,WR,11-2015
STL-2015-91,STL,Illegal Motion,11/29/2015,Cincinnati,J.Cook,TE,12-2015
STL-2015-92,STL,False Start,11/29/2015,Cincinnati,M.Alexander,SS,12-2015
STL-2015-93,STL,False Start,11/29/2015,Cincinnati,C.Bryant,DB,12-2015
STL-2015-94,STL,Running Into the Kicker,11/29/2015,Cincinnati,C.Reynolds,RB,12-2015
STL-2015-95,STL,Offensive Holding,11/29/2015,Cincinnati,D.Bates,LB,12-2015
STL-2015-96,STL,Offensive Holding,11/29/2015,Cincinnati,C.Lynch,LB,12-2015
STL-2015-97,STL,Offensive Holding,11/29/2015,Cincinnati,G.Robinson,T,12-2015
STL-2015-98,STL,Delay of Game,11/29/2015,Cincinnati,N.Foles,QB,12-2015
STL-2015-99,STL,False Start,12/06/2015,Arizona,K.Britt,WR,13-2015
STL-2015-100,STL,False Start,12/06/2015,Arizona,J.Cook,TE,13-2015
STL-2015-101,STL,Defensive Pass Interference,12/06/2015,Arizona,M.Roberson,CB,13-2015
STL-2015-102,STL,Offensive Holding,12/06/2015,Arizona,J.Jenkins,CB,13-2015
STL-2015-103,STL,Offensive Holding,12/06/2015,Arizona,C.Reynolds,RB,13-2015
STL-2015-104,STL,Offensive Holding,12/06/2015,Arizona,C.Davis,DB,13-2015
STL-2015-105,STL,Defensive Pass Interference,12/06/2015,Arizona,L.Joyner,CB,13-2015
STL-2015-106,STL,Defensive Pass Interference,12/06/2015,Arizona,M.Roberson,CB,13-2015
STL-2015-107,STL,Face Mask (15 Yards),12/13/2015,Detroit,C.Bryant,DB,14-2015
STL-2015-108,STL,Chop Block,12/13/2015,Detroit,G.Robinson,T,14-2015
STL-2015-109,STL,Illegal Shift,12/13/2015,Detroit,T.Austin,WR,14-2015
STL-2015-110,STL,Offensive Holding,12/13/2015,Detroit,C.Davis,DB,14-2015
STL-2015-111,STL,Neutral Zone Infraction,12/13/2015,Detroit,E.Westbrooks,DT,14-2015
STL-2015-112,STL,Offensive Holding,12/13/2015,Detroit,G.Robinson,T,14-2015
STL-2015-113,STL,False Start,12/17/2015,Tampa Bay,G.Robinson,T,15-2015
STL-2015-114,STL,Unnecessary Roughness,12/17/2015,Tampa Bay,J.Jenkins,CB,15-2015
STL-2015-115,STL,Defensive Offside,12/17/2015,Tampa Bay,W.Hayes,DE,15-2015
STL-2015-116,STL,Delay of Game,12/17/2015,Tampa Bay,C.Keenum,QB,15-2015
STL-2015-117,STL,Delay of Game,12/17/2015,Tampa Bay,J.Hekker,P,15-2015
STL-2015-118,STL,Encroachment,12/17/2015,Tampa Bay,E.Sims,DE,15-2015
STL-2015-119,STL,Unnecessary Roughness,12/27/2015,Seattle,J.Hekker,P,16-2015
STL-2015-120,STL,Unnecessary Roughness,12/27/2015,Seattle,T.Johnson,CB,16-2015
STL-2015-121,STL,Roughing the Passer,12/27/2015,Seattle,A.Donald,LB,16-2015
STL-2015-122,STL,Illegal Contact,12/27/2015,Seattle,M.Alexander,SS,16-2015
STL-2015-123,STL,Offensive Holding,12/27/2015,Seattle,G.Reynolds,T,16-2015
STL-2015-124,STL,Neutral Zone Infraction,12/27/2015,Seattle,A.Ayers,OLB,16-2015
STL-2015-125,STL,Offensive Holding,01/03/2016,San Francisco,C.Lynch,LB,17-2015
STL-2015-126,STL,Face Mask (15 Yards),01/03/2016,San Francisco,D.Bates,LB,17-2015
STL-2015-127,STL,Delay of Game,01/03/2016,San Francisco,J.Hekker,P,17-2015
STL-2015-128,STL,Unsportsmanlike Conduct,01/03/2016,San Francisco,D.Bates,LB,17-2015
STL-2015-129,STL,Illegal Contact,01/03/2016,San Francisco,T.Johnson,CB,17-2015
STL-2015-130,STL,Offensive Holding,01/03/2016,San Francisco,B.Quick,WR,17-2015
STL-2015-131,STL,False Start,01/03/2016,San Francisco,D.Rhaney,C,17-2015
STL-2015-132,STL,Illegal Contact,01/03/2016,San Francisco,T.Johnson,CB,17-2015
STL-2015-133,STL,Delay of Game,01/03/2016,San Francisco,J.Hekker,P,17-2015
STL-2015-134,STL,Neutral Zone Infraction,01/03/2016,San Francisco,A.Donald,LB,17-2015
STL-2015-135,STL,Unsportsmanlike Conduct,01/03/2016,San Francisco,J.Jenkins,CB,17-2015
STL-2015-136,STL,Unsportsmanlike Conduct,01/03/2016,San Francisco,A.Donald,LB,17-2015
STL-2015-137,STL,Roughing the Passer,01/03/2016,San Francisco,W.Hayes,DE,17-2015
