PenaltyIndex,team,penalty,game,opponent,player,position,week
CAR-2015-94,CAR,Unnecessary Roughness,12/20/2015,N.Y. Giants,C.Finnegan,CB,15-2015
CAR-2015-95,CAR,Offensive Holding,12/20/2015,N.Y. Giants,A.Klein,OLB,15-2015
CAR-2015-96,CAR,Unsportsmanlike Conduct,12/20/2015,N.Y. Giants,T.Ginn,WR,15-2015
CAR-2015-97,CAR,Unnecessary Roughness,12/20/2015,N.Y. Giants,J.Norman,CB,15-2015
CAR-2015-98,CAR,Unnecessary Roughness,12/20/2015,N.Y. Giants,J.Norman,CB,15-2015
CAR-2015-99,CAR,Defensive Offside,12/20/2015,N.Y. Giants,T.Davis,OLB,15-2015
CAR-2015-100,CAR,False Start,12/20/2015,N.Y. Giants,M.Remmers,T,15-2015
CAR-2015-101,CAR,Unnecessary Roughness,12/27/2015,Atlanta,C.Tillman,DB,16-2015
CAR-2015-102,CAR,Encroachment,12/27/2015,Atlanta,S.Lotulelei,DT,16-2015
CAR-2015-103,CAR,Horse Collar Tackle,12/27/2015,Atlanta,L.Kuechly,MLB,16-2015
CAR-2015-104,CAR,False Start,12/27/2015,Atlanta,T.Turner,G,16-2015
CAR-2015-105,CAR,Delay of Game,12/27/2015,Atlanta,B.Nortman,P,16-2015
CAR-2015-106,CAR,Offensive Holding,12/27/2015,Atlanta,M.Remmers,T,16-2015
CAR-2015-107,CAR,False Start,01/03/2016,Tampa Bay,T.Turner,G,17-2015
CAR-2015-108,CAR,Defensive Offside,01/03/2016,Tampa Bay,K.Short,DT,17-2015
CAR-2015-109,CAR,Defensive Holding,01/03/2016,Tampa Bay,J.Norman,CB,17-2015
CAR-2015-110,CAR,Illegal Forward Pass,01/03/2016,Tampa Bay,C.Newton,QB,17-2015
CAR-2015-111,CAR,Delay of Game,01/03/2016,Tampa Bay,C.Newton,QB,17-2015
CAR-2015-112,CAR,Defensive Offside,01/03/2016,Tampa Bay,J.Norman,CB,17-2015
CAR-2015-113,CAR,Illegal Shift,01/03/2016,Tampa Bay,C.Brown,WR,17-2015
CAR-2015-114,CAR,False Start,01/17/2016,Seattle,M.Oher,T,19-2015
CAR-2015-115,CAR,Unnecessary Roughness,01/17/2016,Seattle,C.Jones,DB,19-2015
CAR-2015-116,CAR,Illegal Formation,01/17/2016,Seattle,D.Mayo,LB,19-2015
CAR-2015-117,CAR,Unnecessary Roughness,01/24/2016,Arizona,C.Scott,G,20-2015
