Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex
NE,Defensive Pass Interference,12/24/2011,MIA,D.McCourty,FS,16,2011,NE-2011-81
NE,Defensive Pass Interference,12/24/2011,MIA,R.Ninkovich,DE,16,2011,NE-2011-82
NE,False Start,12/24/2011,MIA,N.Koutouvides,LB,16,2011,NE-2011-83
NE,False Start,12/24/2011,MIA,A.Hernandez,TE,16,2011,NE-2011-84
NE,Illegal Formation,12/24/2011,MIA,R.Gronkowski,TE,16,2011,NE-2011-85
NE,Defensive Pass Interference,01/01/2012,BUF,A.Molden,DB,17,2011,NE-2011-86
NE,Offensive Holding,01/01/2012,BUF,B.Waters,G,17,2011,NE-2011-87
NE,Encroachment,01/01/2012,BUF,M.Anderson,DE,17,2011,NE-2011-88
NE,Illegal Use of Hands,01/01/2012,BUF,A.Molden,DB,17,2011,NE-2011-89
NE,Personal Foul,01/01/2012,BUF,D.McCourty,FS,17,2011,NE-2011-90
NE,Encroachment,01/14/2012,DEN,V.Wilfork,NT,19,2011,NE-2011-91
NE,Unnecessary Roughness,01/14/2012,DEN,P.Chung,SS,19,2011,NE-2011-92
NE,Defensive Offside,01/14/2012,DEN,J.Edelman,WR,19,2011,NE-2011-93
NYJ,Defensive Offside,09/18/2011,JAC,J.Westerman,LB,2,2011,NYJ-2011-0
NYJ,Fair Catch Interference,09/18/2011,JAC,M.Cole,DB,2,2011,NYJ-2011-1
NYJ,Face Mask (15 Yards),09/18/2011,JAC,W.Hunter,T,2,2011,NYJ-2011-2
NYJ,Offensive Holding,09/18/2011,JAC,W.Hunter,T,2,2011,NYJ-2011-3
NYJ,False Start,09/18/2011,JAC,B.Moore,G,2,2011,NYJ-2011-4
NYJ,Illegal Formation,09/18/2011,JAC,S.Holmes,WR,2,2011,NYJ-2011-5
NYJ,Ineligible Downfield Pass,09/18/2011,JAC,B.Moore,G,2,2011,NYJ-2011-6
NYJ,Defensive Pass Interference,09/25/2011,OAK,A.Cromartie,DB,3,2011,NYJ-2011-7
NYJ,False Start,09/25/2011,OAK,M.Mulligan,TE,3,2011,NYJ-2011-8
NYJ,False Start,09/25/2011,OAK,M.Slauson,G,3,2011,NYJ-2011-9
NYJ,Defensive Holding,09/25/2011,OAK,A.Cromartie,DB,3,2011,NYJ-2011-10
NYJ,Defensive Holding,09/25/2011,OAK,A.Cromartie,DB,3,2011,NYJ-2011-11
NYJ,Defensive Pass Interference,09/25/2011,OAK,A.Cromartie,DB,3,2011,NYJ-2011-12
